feature_id,canonical_token,valid_contexts,evaluated_contexts,total_contexts,passed,failure_reason
107,,0,24,45,0,insufficient matching contexts
108,langle,22,24,45,1,
109,staffing,3,24,45,0,insufficient matching contexts
110,,0,0,44,0,only 44 contexts
111,fair,24,24,45,1,
112,mumbai,1,24,45,0,insufficient matching contexts
113,fever,24,24,45,1,
114,in,1,24,45,0,insufficient matching contexts
115,,0,0,41,0,only 41 contexts
116,uae,24,24,45,1,
117,,0,0,43,0,only 43 contexts
118,ir,4,24,45,0,insufficient matching contexts
119,,0,0,43,0,only 43 contexts
120,class,24,24,45,1,
121,,0,0,41,0,only 41 contexts
122,,0,0,37,0,only 37 contexts
123,,0,0,43,0,only 43 contexts
124,,0,24,45,0,insufficient matching contexts
125,rachel,10,24,45,0,insufficient matching contexts
126,,0,24,45,0,insufficient matching contexts
127,,0,24,45,0,insufficient matching contexts
128,,0,24,45,0,insufficient matching contexts
129,remove,7,24,45,0,insufficient matching contexts
130,,0,0,43,0,only 43 contexts
131,,0,0,41,0,only 41 contexts
132,zealand,24,24,45,1,
133,,0,0,42,0,only 42 contexts
134,,0,0,41,0,only 41 contexts
135,,0,0,44,0,only 44 contexts
136,form,4,24,45,0,insufficient matching contexts
137,bargaining,1,24,45,0,insufficient matching contexts
138,,0,0,41,0,only 41 contexts
139,,0,24,45,0,insufficient matching contexts
140,,0,0,43,0,only 43 contexts
141,,0,0,37,0,only 37 contexts
142,,0,0,41,0,only 41 contexts
143,,0,0,42,0,only 42 contexts
144,,0,0,42,0,only 42 contexts
145,vanessa,1,24,45,0,insufficient matching contexts
146,a,4,24,45,0,insufficient matching contexts
147,,0,0,41,0,only 41 contexts
148,,0,0,40,0,only 40 contexts
149,,0,0,32,0,only 32 contexts
150,ape,3,24,45,0,insufficient matching contexts
151,ll,15,24,45,0,insufficient matching contexts
152,,0,0,42,0,only 42 contexts
153,,0,24,45,0,insufficient matching contexts
154,,0,0,36,0,only 36 contexts
155,,0,24,45,0,insufficient matching contexts
156,,0,0,40,0,only 40 contexts
157,,0,0,42,0,only 42 contexts
158,,0,0,36,0,only 36 contexts
159,modification,2,24,45,0,insufficient matching contexts
160,,0,0,44,0,only 44 contexts
161,,0,0,42,0,only 42 contexts
162,,0,0,40,0,only 40 contexts
163,,0,24,45,0,insufficient matching contexts
164,declared,2,24,45,0,insufficient matching contexts
165,,0,0,43,0,only 43 contexts
166,pfs,5,24,45,0,insufficient matching contexts
167,table,1,24,45,0,insufficient matching contexts
168,datatype,11,24,45,0,insufficient matching contexts
169,,0,0,43,0,only 43 contexts
170,,0,24,45,0,insufficient matching contexts
171,,0,0,42,0,only 42 contexts
172,link,6,24,45,0,insufficient matching contexts
173,,0,0,41,0,only 41 contexts
174,,0,24,45,0,insufficient matching contexts
175,commission,24,24,45,1,
176,header,1,24,45,0,insufficient matching contexts
177,,0,0,44,0,only 44 contexts
178,,0,0,39,0,only 39 contexts
179,,0,0,43,0,only 43 contexts
180,executive,3,24,45,0,insufficient matching contexts
181,error,3,24,45,0,insufficient matching contexts
182,of,24,24,45,1,
183,door,20,24,45,0,insufficient matching contexts
184,,0,0,42,0,only 42 contexts
185,scarcely,1,24,45,0,insufficient matching contexts
186,b,1,24,45,0,insufficient matching contexts
187,,0,0,44,0,only 44 contexts
188,,0,24,45,0,insufficient matching contexts
189,,0,0,42,0,only 42 contexts
190,,0,0,40,0,only 40 contexts
191,par,4,24,45,0,insufficient matching contexts
192,rd,2,24,45,0,insufficient matching contexts
193,ring,2,24,45,0,insufficient matching contexts
194,electronic,1,24,45,0,insufficient matching contexts
195,,0,0,44,0,only 44 contexts
196,nebraska,10,24,45,0,insufficient matching contexts
197,,0,0,37,0,only 37 contexts
198,ase,3,24,45,0,insufficient matching contexts
199,,0,0,43,0,only 43 contexts
200,,0,24,45,0,insufficient matching contexts
201,multiplier,1,24,45,0,insufficient matching contexts
202,comments,5,24,45,0,insufficient matching contexts
203,,0,0,34,0,only 34 contexts
204,,0,0,41,0,only 41 contexts
205,action,1,24,45,0,insufficient matching contexts
206,national,1,24,45,0,insufficient matching contexts
207,ddt,2,24,45,0,insufficient matching contexts
208,,0,24,45,0,insufficient matching contexts
209,technology,3,24,45,0,insufficient matching contexts
210,ahead,1,24,45,0,insufficient matching contexts
211,,0,0,40,0,only 40 contexts
212,usr,2,24,45,0,insufficient matching contexts
213,enclose,2,24,45,0,insufficient matching contexts
214,,0,0,37,0,only 37 contexts
215,id,2,24,45,0,insufficient matching contexts
216,,0,0,38,0,only 38 contexts
217,what,10,24,45,0,insufficient matching contexts
218,read,1,24,45,0,insufficient matching contexts
219,,0,0,31,0,only 31 contexts
220,simplified,5,24,45,0,insufficient matching contexts
221,skill,3,24,45,0,insufficient matching contexts
222,,0,0,39,0,only 39 contexts
223,,0,0,38,0,only 38 contexts
224,,0,0,43,0,only 43 contexts
225,,0,0,44,0,only 44 contexts
226,,0,24,45,0,insufficient matching contexts
227,least,11,24,45,0,insufficient matching contexts
228,,0,0,44,0,only 44 contexts
229,,0,0,42,0,only 42 contexts
230,championship,1,24,45,0,insufficient matching contexts
231,,0,0,43,0,only 43 contexts
232,,0,0,42,0,only 42 contexts
233,tests,2,24,45,0,insufficient matching contexts
234,t,14,24,45,0,insufficient matching contexts
235,,0,24,45,0,insufficient matching contexts
236,verdict,2,24,45,0,insufficient matching contexts
237,cdot,20,24,45,0,insufficient matching contexts
238,r,3,24,45,0,insufficient matching contexts
239,let,4,24,45,0,insufficient matching contexts
240,this,2,24,45,0,insufficient matching contexts
241,est,6,24,45,0,insufficient matching contexts
242,,0,0,25,0,only 25 contexts
243,improve,2,24,45,0,insufficient matching contexts
244,,0,24,45,0,insufficient matching contexts
245,site,23,24,45,1,
246,doinbackground,1,24,45,0,insufficient matching contexts
247,slip,1,24,45,0,insufficient matching contexts
248,initial,9,24,45,0,insufficient matching contexts
249,yet,24,24,45,1,
250,there,1,24,45,0,insufficient matching contexts
251,guess,24,24,45,1,
252,cut,24,24,45,1,
253,,0,24,45,0,insufficient matching contexts
254,,0,0,40,0,only 40 contexts
255,,0,24,45,0,insufficient matching contexts
256,,0,24,45,0,insufficient matching contexts
257,,0,0,44,0,only 44 contexts
258,activity,1,24,45,0,insufficient matching contexts
259,,0,0,42,0,only 42 contexts
260,are,1,24,45,0,insufficient matching contexts
261,sch,24,24,45,1,
262,,0,0,44,0,only 44 contexts
263,,0,0,41,0,only 41 contexts
264,information,2,24,45,0,insufficient matching contexts
265,was,4,24,45,0,insufficient matching contexts
266,,0,0,44,0,only 44 contexts
267,,0,0,38,0,only 38 contexts
268,thresholds,1,24,45,0,insufficient matching contexts
269,news,4,24,45,0,insufficient matching contexts
270,,0,24,45,0,insufficient matching contexts
271,frame,1,24,45,0,insufficient matching contexts
272,,0,0,42,0,only 42 contexts
273,return,8,24,45,0,insufficient matching contexts
274,,0,0,36,0,only 36 contexts
275,,0,0,44,0,only 44 contexts
276,,0,0,44,0,only 44 contexts
277,cheese,24,24,45,1,
278,,0,0,32,0,only 32 contexts
279,,0,0,44,0,only 44 contexts
280,,0,24,45,0,insufficient matching contexts
281,android,1,24,45,0,insufficient matching contexts
282,two,24,24,45,1,
283,,0,0,41,0,only 41 contexts
284,c,8,24,45,0,insufficient matching contexts
285,usual,24,24,45,1,
286,winter,6,24,45,0,insufficient matching contexts
287,text,24,24,45,1,
288,iv,24,24,45,1,
289,,0,0,40,0,only 40 contexts
290,,0,0,43,0,only 43 contexts
291,,0,0,27,0,only 27 contexts
292,,0,0,44,0,only 44 contexts
293,,0,24,45,0,insufficient matching contexts
294,,0,0,43,0,only 43 contexts
295,to,24,24,45,1,
296,antigen,2,24,45,0,insufficient matching contexts
297,brown,1,24,45,0,insufficient matching contexts
298,,0,24,45,0,insufficient matching contexts
299,concessions,2,24,45,0,insufficient matching contexts
300,all,16,24,45,0,insufficient matching contexts
301,,0,0,33,0,only 33 contexts
302,,0,0,42,0,only 42 contexts
303,,0,0,41,0,only 41 contexts
304,regeneration,1,24,45,0,insufficient matching contexts
305,unique,2,24,45,0,insufficient matching contexts
306,,0,0,35,0,only 35 contexts
307,,0,0,42,0,only 42 contexts
308,,0,0,30,0,only 30 contexts
309,in,1,24,45,0,insufficient matching contexts
310,browsing,2,24,45,0,insufficient matching contexts
311,standalone,3,24,45,0,insufficient matching contexts
312,isms,2,24,45,0,insufficient matching contexts
313,,0,0,44,0,only 44 contexts
314,anthology,4,24,45,0,insufficient matching contexts
315,trace,24,24,45,1,
316,,0,24,45,0,insufficient matching contexts
317,out,1,24,45,0,insufficient matching contexts
318,,0,24,45,0,insufficient matching contexts
319,together,5,24,45,0,insufficient matching contexts
320,,0,0,39,0,only 39 contexts
321,rone,9,24,45,0,insufficient matching contexts
322,,0,0,38,0,only 38 contexts
323,,0,24,45,0,insufficient matching contexts
324,,0,0,41,0,only 41 contexts
325,,0,24,45,0,insufficient matching contexts
326,,0,0,38,0,only 38 contexts
327,,0,0,44,0,only 44 contexts
328,,0,24,45,0,insufficient matching contexts
329,,0,0,42,0,only 42 contexts
330,,0,0,40,0,only 40 contexts
331,able,1,24,45,0,insufficient matching contexts
332,may,11,24,45,0,insufficient matching contexts
333,,0,24,45,0,insufficient matching contexts
334,,0,24,45,0,insufficient matching contexts
335,,0,0,42,0,only 42 contexts
336,,0,0,40,0,only 40 contexts
337,,0,0,41,0,only 41 contexts
338,,0,0,42,0,only 42 contexts
339,form,1,24,45,0,insufficient matching contexts
340,finance,1,24,45,0,insufficient matching contexts
341,systems,1,24,45,0,insufficient matching contexts
342,then,2,24,45,0,insufficient matching contexts
343,,0,24,45,0,insufficient matching contexts
344,calculation,9,24,45,0,insufficient matching contexts
345,ca,1,24,45,0,insufficient matching contexts
346,,0,0,27,0,only 27 contexts
347,all,17,24,45,0,insufficient matching contexts
348,,0,0,42,0,only 42 contexts
349,,0,24,45,0,insufficient matching contexts
350,by,20,24,45,0,insufficient matching contexts
351,,0,0,44,0,only 44 contexts
352,told,5,24,45,0,insufficient matching contexts
353,feed,2,24,45,0,insufficient matching contexts
354,,0,24,45,0,insufficient matching contexts
355,,0,0,29,0,only 29 contexts
356,length,2,24,45,0,insufficient matching contexts
357,,0,0,39,0,only 39 contexts
358,mechanical,24,24,45,1,
359,ptr,24,24,45,1,
360,class,24,24,45,1,
361,override,1,24,45,0,insufficient matching contexts
362,,0,24,45,0,insufficient matching contexts
363,mm,4,24,45,0,insufficient matching contexts
364,,0,0,40,0,only 40 contexts
365,minute,13,24,45,0,insufficient matching contexts
366,,0,0,42,0,only 42 contexts
367,proofs,4,24,45,0,insufficient matching contexts
368,,0,24,45,0,insufficient matching contexts
369,digit,3,24,45,0,insufficient matching contexts
370,int,1,24,45,0,insufficient matching contexts
371,,0,0,43,0,only 43 contexts
372,,0,0,43,0,only 43 contexts
373,ñ,5,24,45,0,insufficient matching contexts
374,,0,0,34,0,only 34 contexts
375,,0,0,43,0,only 43 contexts
376,,0,0,39,0,only 39 contexts
377,and,3,24,45,0,insufficient matching contexts
378,,0,0,41,0,only 41 contexts
379,,0,0,38,0,only 38 contexts
380,,0,0,42,0,only 42 contexts
381,,0,24,45,0,insufficient matching contexts
382,,0,0,26,0,only 26 contexts
383,sentence,1,24,45,0,insufficient matching contexts
384,,0,0,44,0,only 44 contexts
385,animation,2,24,45,0,insufficient matching contexts
386,,0,0,38,0,only 38 contexts
387,ant,24,24,45,1,
388,,0,24,45,0,insufficient matching contexts
389,want,18,24,45,0,insufficient matching contexts
390,,0,0,30,0,only 30 contexts
391,,0,0,42,0,only 42 contexts
392,,0,0,41,0,only 41 contexts
393,,0,24,45,0,insufficient matching contexts
394,aliens,2,24,45,0,insufficient matching contexts
395,debts,1,24,45,0,insufficient matching contexts
396,,0,0,43,0,only 43 contexts
397,,0,0,39,0,only 39 contexts
398,,0,0,42,0,only 42 contexts
399,,0,0,36,0,only 36 contexts
400,,0,0,42,0,only 42 contexts
401,,0,0,41,0,only 41 contexts
402,dp,1,24,45,0,insufficient matching contexts
403,,0,0,37,0,only 37 contexts
404,a,21,24,45,0,insufficient matching contexts
405,s,1,24,45,0,insufficient matching contexts
406,,0,24,45,0,insufficient matching contexts
407,,0,24,45,0,insufficient matching contexts
408,afford,22,24,45,1,
409,example,3,24,45,0,insufficient matching contexts
410,source,1,24,45,0,insufficient matching contexts
411,most,24,24,45,1,
412,range,1,24,45,0,insufficient matching contexts
413,nitrogen,4,24,45,0,insufficient matching contexts
414,𝑛,2,24,45,0,insufficient matching contexts
415,,0,0,44,0,only 44 contexts
416,,0,24,45,0,insufficient matching contexts
417,back,5,24,45,0,insufficient matching contexts
418,cl,1,24,45,0,insufficient matching contexts
419,to,2,24,45,0,insufficient matching contexts
420,bombing,1,24,45,0,insufficient matching contexts
421,each,3,24,45,0,insufficient matching contexts
422,cond,12,24,45,0,insufficient matching contexts
423,,0,24,45,0,insufficient matching contexts
424,,0,0,44,0,only 44 contexts
425,,0,24,45,0,insufficient matching contexts
426,,0,24,45,0,insufficient matching contexts
427,,0,0,38,0,only 38 contexts
428,,0,24,45,0,insufficient matching contexts
429,,0,0,31,0,only 31 contexts
430,,0,0,43,0,only 43 contexts
431,see,24,24,45,1,
432,,0,24,45,0,insufficient matching contexts
433,,0,0,42,0,only 42 contexts
434,,0,24,45,0,insufficient matching contexts
435,,0,0,36,0,only 36 contexts
436,,0,24,45,0,insufficient matching contexts
437,social,2,24,45,0,insufficient matching contexts
438,factor,2,24,45,0,insufficient matching contexts
439,,0,0,43,0,only 43 contexts
440,,0,0,43,0,only 43 contexts
441,martin,1,24,45,0,insufficient matching contexts
442,parti,4,24,45,0,insufficient matching contexts
443,,0,24,45,0,insufficient matching contexts
444,,0,24,45,0,insufficient matching contexts
445,,0,0,43,0,only 43 contexts
446,,0,24,45,0,insufficient matching contexts
447,,0,0,44,0,only 44 contexts
448,,0,0,44,0,only 44 contexts
449,criticised,8,24,45,0,insufficient matching contexts
450,,0,24,45,0,insufficient matching contexts
451,,0,0,31,0,only 31 contexts
452,prison,24,24,45,1,
453,,0,0,43,0,only 43 contexts
454,fuel,3,24,45,0,insufficient matching contexts
455,their,15,24,45,0,insufficient matching contexts
456,degree,1,24,45,0,insufficient matching contexts
457,perry,17,24,45,0,insufficient matching contexts
458,,0,0,38,0,only 38 contexts
459,a,22,24,45,1,
460,,0,0,42,0,only 42 contexts
461,,0,24,45,0,insufficient matching contexts
462,concern,18,24,45,0,insufficient matching contexts
463,was,5,24,45,0,insufficient matching contexts
464,,0,0,42,0,only 42 contexts
465,the,2,24,45,0,insufficient matching contexts
466,com,24,24,45,1,
467,content,1,24,45,0,insufficient matching contexts
468,or,5,24,45,0,insufficient matching contexts
469,oro,2,24,45,0,insufficient matching contexts
470,test,10,24,45,0,insufficient matching contexts
471,,0,0,41,0,only 41 contexts
472,polymorphism,1,24,45,0,insufficient matching contexts
473,,0,0,40,0,only 40 contexts
474,f,2,24,45,0,insufficient matching contexts
475,ys,1,24,45,0,insufficient matching contexts
476,,0,24,45,0,insufficient matching contexts
477,,0,24,45,0,insufficient matching contexts
478,issue,3,24,45,0,insufficient matching contexts
479,,0,0,44,0,only 44 contexts
480,,0,24,45,0,insufficient matching contexts
481,,0,0,31,0,only 31 contexts
482,,0,0,39,0,only 39 contexts
483,,0,0,41,0,only 41 contexts
484,adapt,14,24,45,0,insufficient matching contexts
485,prevalence,1,24,45,0,insufficient matching contexts
486,based,14,24,45,0,insufficient matching contexts
487,ag,24,24,45,1,
488,of,16,24,45,0,insufficient matching contexts
489,,0,24,45,0,insufficient matching contexts
490,cwe,1,24,45,0,insufficient matching contexts
491,,0,0,41,0,only 41 contexts
492,to,24,24,45,1,
493,rrrrrr,2,24,45,0,insufficient matching contexts
494,,0,24,45,0,insufficient matching contexts
495,venture,18,24,45,0,insufficient matching contexts
496,ology,3,24,45,0,insufficient matching contexts
497,december,1,24,45,0,insufficient matching contexts
498,,0,0,30,0,only 30 contexts
499,var,3,24,45,0,insufficient matching contexts
500,,0,0,44,0,only 44 contexts
501,,0,0,42,0,only 42 contexts
502,having,1,24,45,0,insufficient matching contexts
503,families,24,24,45,1,
504,,0,0,27,0,only 27 contexts
505,particle,24,24,45,1,
506,,0,0,42,0,only 42 contexts
507,bus,24,24,45,1,
508,gift,20,24,45,0,insufficient matching contexts
509,neck,24,24,45,1,
510,,0,0,43,0,only 43 contexts
511,rugby,3,24,45,0,insufficient matching contexts
512,by,17,24,45,0,insufficient matching contexts
513,answer,14,24,45,0,insufficient matching contexts
514,found,7,24,45,0,insufficient matching contexts
515,,0,24,45,0,insufficient matching contexts
516,,0,0,42,0,only 42 contexts
517,,0,24,45,0,insufficient matching contexts
518,,0,0,39,0,only 39 contexts
519,selective,19,24,45,0,insufficient matching contexts
520,,0,0,42,0,only 42 contexts
521,,0,0,42,0,only 42 contexts
522,of,24,24,45,1,
523,beg,1,24,45,0,insufficient matching contexts
524,muslim,1,24,45,0,insufficient matching contexts
525,which,8,24,45,0,insufficient matching contexts
526,sixth,2,24,45,0,insufficient matching contexts
527,,0,0,43,0,only 43 contexts
528,salami,2,24,45,0,insufficient matching contexts
529,arrived,3,24,45,0,insufficient matching contexts
530,,0,0,33,0,only 33 contexts
531,t,1,24,45,0,insufficient matching contexts
532,sb,1,24,45,0,insufficient matching contexts
533,trong,2,24,45,0,insufficient matching contexts
534,,0,24,45,0,insufficient matching contexts
535,,0,0,41,0,only 41 contexts
536,,0,24,45,0,insufficient matching contexts
537,rest,24,24,45,1,
538,,0,0,43,0,only 43 contexts
539,,0,24,45,0,insufficient matching contexts
540,x,2,24,45,0,insufficient matching contexts
541,operating,1,24,45,0,insufficient matching contexts
542,sure,20,24,45,0,insufficient matching contexts
543,,0,0,44,0,only 44 contexts
544,week,5,24,45,0,insufficient matching contexts
545,,0,24,45,0,insufficient matching contexts
546,by,13,24,45,0,insufficient matching contexts
547,rice,1,24,45,0,insufficient matching contexts
548,g,6,24,45,0,insufficient matching contexts
549,req,6,24,45,0,insufficient matching contexts
550,control,2,24,45,0,insufficient matching contexts
551,id,22,24,45,1,
552,drop,2,24,45,0,insufficient matching contexts
553,,0,0,44,0,only 44 contexts
554,,0,0,40,0,only 40 contexts
555,mator,3,24,45,0,insufficient matching contexts
556,,0,24,45,0,insufficient matching contexts
557,,0,0,29,0,only 29 contexts
558,,0,0,37,0,only 37 contexts
559,,0,24,45,0,insufficient matching contexts
560,then,6,24,45,0,insufficient matching contexts
561,,0,24,45,0,insufficient matching contexts
562,,0,0,40,0,only 40 contexts
563,,0,0,43,0,only 43 contexts
564,,0,0,44,0,only 44 contexts
565,,0,0,40,0,only 40 contexts
566,vert,23,24,45,1,
567,invoked,1,24,45,0,insufficient matching contexts
568,,0,0,41,0,only 41 contexts
569,private,22,24,45,1,
570,,0,24,45,0,insufficient matching contexts
571,purl,4,24,45,0,insufficient matching contexts
572,in,4,24,45,0,insufficient matching contexts
573,,0,0,43,0,only 43 contexts
574,iv,3,24,45,0,insufficient matching contexts
575,,0,24,45,0,insufficient matching contexts
576,said,20,24,45,0,insufficient matching contexts
577,,0,24,45,0,insufficient matching contexts
578,,0,24,45,0,insufficient matching contexts
579,,0,0,44,0,only 44 contexts
580,,0,24,45,0,insufficient matching contexts
581,r,24,24,45,1,
582,this,23,24,45,1,
583,variations,1,24,45,0,insufficient matching contexts
584,,0,0,41,0,only 41 contexts
585,,0,0,42,0,only 42 contexts
586,,0,24,45,0,insufficient matching contexts
587,housed,1,24,45,0,insufficient matching contexts
588,,0,24,45,0,insufficient matching contexts
589,simple,24,24,45,1,
590,is,1,24,45,0,insufficient matching contexts
591,,0,24,45,0,insufficient matching contexts
592,and,10,24,45,0,insufficient matching contexts
593,,0,0,40,0,only 40 contexts
594,,0,0,40,0,only 40 contexts
595,,0,24,45,0,insufficient matching contexts
596,,0,0,26,0,only 26 contexts
597,,0,0,37,0,only 37 contexts
598,,0,0,44,0,only 44 contexts
599,county,1,24,45,0,insufficient matching contexts
600,implementation,1,24,45,0,insufficient matching contexts
601,,0,24,45,0,insufficient matching contexts
602,,0,24,45,0,insufficient matching contexts
603,needed,1,24,45,0,insufficient matching contexts
604,nef,3,24,45,0,insufficient matching contexts
605,,0,24,45,0,insufficient matching contexts
606,even,24,24,45,1,
607,above,1,24,45,0,insufficient matching contexts
608,f,1,24,45,0,insufficient matching contexts
609,ale,3,24,45,0,insufficient matching contexts
610,mother,2,24,45,0,insufficient matching contexts
611,,0,0,41,0,only 41 contexts
612,,0,24,45,0,insufficient matching contexts
613,map,8,24,45,0,insufficient matching contexts
614,,0,0,41,0,only 41 contexts
615,,0,24,45,0,insufficient matching contexts
616,vdots,7,24,45,0,insufficient matching contexts
617,gladly,5,24,45,0,insufficient matching contexts
618,,0,0,42,0,only 42 contexts
619,adequate,1,24,45,0,insufficient matching contexts
620,chain,21,24,45,0,insufficient matching contexts
621,,0,24,45,0,insufficient matching contexts
622,,0,0,41,0,only 41 contexts
623,,0,0,35,0,only 35 contexts
624,,0,24,45,0,insufficient matching contexts
625,ed,1,24,45,0,insufficient matching contexts
626,fc,24,24,45,1,
627,discretionary,1,24,45,0,insufficient matching contexts
628,sand,1,24,45,0,insufficient matching contexts
629,,0,0,42,0,only 42 contexts
630,webdriver,4,24,45,0,insufficient matching contexts
631,idx,4,24,45,0,insufficient matching contexts
632,,0,0,44,0,only 44 contexts
633,at,1,24,45,0,insufficient matching contexts
634,,0,0,44,0,only 44 contexts
635,someone,2,24,45,0,insufficient matching contexts
636,tm,22,24,45,1,
637,,0,24,45,0,insufficient matching contexts
638,module,1,24,45,0,insufficient matching contexts
639,,0,24,45,0,insufficient matching contexts
640,called,5,24,45,0,insufficient matching contexts
641,are,3,24,45,0,insufficient matching contexts
642,href,24,24,45,1,
643,,0,24,45,0,insufficient matching contexts
644,e,15,24,45,0,insufficient matching contexts
645,,0,24,45,0,insufficient matching contexts
646,his,2,24,45,0,insufficient matching contexts
647,,0,0,42,0,only 42 contexts
648,teachers,4,24,45,0,insufficient matching contexts
649,grass,24,24,45,1,
650,,0,0,40,0,only 40 contexts
651,case,5,24,45,0,insufficient matching contexts
652,oct,4,24,45,0,insufficient matching contexts
653,births,13,24,45,0,insufficient matching contexts
654,frac,3,24,45,0,insufficient matching contexts
655,a,1,24,45,0,insufficient matching contexts
656,,0,0,42,0,only 42 contexts
657,,0,0,41,0,only 41 contexts
658,,0,24,45,0,insufficient matching contexts
659,under,24,24,45,1,
660,,0,0,25,0,only 25 contexts
661,,0,0,30,0,only 30 contexts
662,,0,24,45,0,insufficient matching contexts
663,,0,0,43,0,only 43 contexts
664,in,24,24,45,1,
665,,0,24,45,0,insufficient matching contexts
666,,0,0,44,0,only 44 contexts
667,,0,24,45,0,insufficient matching contexts
668,,0,24,45,0,insufficient matching contexts
669,kra,12,24,45,0,insufficient matching contexts
670,,0,0,43,0,only 43 contexts
671,shetland,1,24,45,0,insufficient matching contexts
672,tell,24,24,45,1,
673,shown,1,24,45,0,insufficient matching contexts
674,to,22,24,45,1,
675,,0,24,45,0,insufficient matching contexts
676,,0,0,42,0,only 42 contexts
677,,0,24,45,0,insufficient matching contexts
678,,0,0,41,0,only 41 contexts
679,,0,0,44,0,only 44 contexts
680,,0,0,37,0,only 37 contexts
681,control,4,24,45,0,insufficient matching contexts
682,,0,24,45,0,insufficient matching contexts
683,werve,2,24,45,0,insufficient matching contexts
